,writer
1301,Donald E. Westlake
1302,Donald Goines
1303,Donald P. Borchers
1304,Donald Woods
1305,Donna Powers
1306,Donna Tartt
1307,Doris Kearns Goodwin
1308,Doris Pilkington
1309,Dorota Kobiela
1310,Dorothy Blyskal
1311,Dorothy Kingsley
1312,Dorothy Tristan
1313,Doug Atchison
1314,Doug Ellin
1315,Doug Jung
1316,Doug Langdale
1317,Doug Miro
1318,Doug Richardson
1319,Doug Taylor
1320,Doug Wright
1321,Douglas Adams
1322,Douglas Cook
1323,Douglas Day Stewart
1324,Douglas J. Eboch
1325,Douglas McGrath
1326,Douglas Preston
1327,Douglas Schwartz
1328,Douglas Wick
1329,Dr. Seuss
1330,Drake Doremus
1331,Drake Sather
1332,Drew Dowdle
1333,Drew Gitlin
1334,Drew Goddard
1335,Drew Pearce
1336,Du Lu Wang
1337,Duane Adler
1338,Duke Sandefur
1339,Duncan Brantley
1340,Duncan Gibbins
1341,Duncan Jones
1342,Duncan Kennedy
1343,Duncan Tucker
1344,Dustin Lance Black
1345,Dustin Lee Abraham
1346,Dyan Sheldon
1347,E. Jack Kaplan
1348,E. Max Frye
1349,E. Randol Schoenberg
1350,E.B. White
1351,E.C. Segar
1352,E.L. Doctorow
1353,E.L. James
1354,E.M. Forster
1355,E.T.A. Hoffmann
1356,Earl Barret
1357,Earl Richey Jones
1358,Ebbe Roe Smith
1359,Ed Boon
1360,Ed Decter
1361,Ed Gass-Donnelly
1362,Ed Harris
1363,Ed Horowitz
1364,Ed Justin
1365,Ed Kaplan
1366,Ed Naha
1367,Ed Solomon
1368,Ed Stone
1369,Ed Turner
1370,Ed Yeager
1371,Eddie Campbell
1372,Eddie Gonzalez
1373,Eddie Griffin
1374,Eddie Guzelian
1375,Eddie Little
1376,Eddie Murphy
1377,Edgar Rice Burroughs
1378,Edgar Wright
1379,Edith Wharton
1380,Edmond Rostand
1381,Edmonde Charles-Roux
1382,Edmund H. North
1383,Edmund Ward
1384,Eduardo M. Clorio
1385,Eduardo Sacheri
1386,Eduardo Sánchez
1387,Edui Tijerina
1388,Edward Anderson
1389,Edward Burns
1390,Edward Cannon
1391,Edward Clinton
1392,Edward Emanuel
1393,Edward Khmara
1394,Edward Kitsis
1395,Edward Neumeier
1396,Edward Norton
1397,Edward Rugoff
1398,Edward Tang
1399,Edward Zwick
1400,Edwin Blum
1401,Edwin Torres
1402,Efthymis Filippou
1403,Ehren Kruger
1404,Eiko Kadono
1405,Eileen Chang
1406,Elaine Goldsmith-Thomas
1407,Elaine May
1408,Elan Mastai
1409,Eleanor Bergstein
1410,Eleanor Catton
1411,Eleazar Lipsky
1412,Elfriede Jelinek
1413,Elgin James
1414,Eli Roth
1415,Eliot Asinof
1416,Elisa Bell
1417,Elisabeth Sanxay Holding
1418,Elissa Matsueda
1419,Elizabeth Banks
1420,Elizabeth Berger
1421,Elizabeth Chandler
1422,Elizabeth Cuthrell
1423,Elizabeth Hunter
1424,Elizabeth Livingston
1425,Elizabeth McNeill
1426,Elizabeth Meriwether
1427,Elizabeth Young
1428,Ellen Furman
1429,Ellen Green
1430,Ellen Shepard
1431,Elliot Tiber
1432,Elliott Lewitt
1433,Ellory Elkayem
1434,Elmore Leonard
1435,Emanuele Crialese
1436,Emi Mochizuki
1437,Emil Stern
1438,Emilio Estevez
1439,Emily Carmichael
1440,Emily Fox
1441,Emily Giffin
1442,Emily Halpern
1443,Emily Meyer
1444,Emily V. Gordon
1445,Emma Donoghue
1446,Emma McLaughlin
1447,Emma Thompson
1448,Emmanuel Benbihy
1449,Emílio Boechat
1450,Eran Creevy
1451,Eric Aronson
1452,Eric Bergren
1453,Eric Bernt
1454,Eric Blakeney
1455,Eric Bogosian
1456,Eric Bress
1457,Eric Champnella
1458,Eric Darnell
1459,Eric Eason
1460,Eric Garcia
1461,Eric Goldberg
1462,Eric Guggenheim
1463,Eric Heisserer
1464,Eric Hughes
1465,Eric Kirsten
1466,Eric Kripke
1467,Eric Lerner
1468,Eric Luke
1469,Eric Pearson
1470,Eric Red
1471,Eric Roth
1472,Eric Schaeffer
1473,Eric Siegel
1474,Eric Summer
1475,Eric Wald
1476,Eric Warren Singer
1477,Erica Beeney
1478,Erica Oyama
1479,Erica Rivinoja
1480,Erich Hoeber
1481,Erik Fleming
1482,Erik Sommers
1483,Erik Tarloff
1484,Erik White
1485,Erika Holzer
1486,Erin Cardillo
1487,Erin Cressida Wilson
1488,Erin Simms
1489,Ernest Cline
1490,Ernest K. Gann
1491,Ernest R. Dickerson
1492,Ernest R. May
1493,Ernest Riera
1494,Ernest Shepard
1495,Ernest Thompson
1496,Ernest Tidyman
1497,Ernestine Gilbreth Carey
1498,Ernesto Foronda
1499,Ernie Barbarash
1500,Esther Freud
1501,Etan Cohen
1502,Ethan Canin
1503,Ethan Coen
1504,Ethan Gross
1505,Ethan Reiff
1506,Ethan Wiley
1507,Etienne Comar
1508,Eugene Levy
1509,Eun-Jeong Kim
1510,Eva Maria Peters
1511,Evan Chandler
1512,Evan Daugherty
1513,Evan Goldberg
1514,Evan Spiliotopoulos
1515,Evan Susser
1516,Eve Ahlert
1517,Evgenia Peretz
1518,Ewan Leslie
1519,Eyal Podell
1520,Eça de Queirós
1521,F. Paul Wilson
1522,F. Scott Frazier
1523,F.X. Toole
1524,Fabian Wullenweber
1525,Fabián Bielinsky
1526,Faith Conroy
1527,Fannie Flagg
1528,Farhad Mann
1529,Farhad Safinia
1530,Farhad Samji
1531,Farhan Akhtar
1532,Fax Bahr
1533,Fede Alvarez
1534,Felix Sutton
1535,Felix van Groeningen
1536,Feng Li
1537,Ferenc Török
1538,Fernando Trueba
1539,Fernando de Felipe
1540,Fernley Phillips
1541,Fibe Ma
1542,Florence Seidelman
1543,Floria Sigismondi
1544,Florian Henckel von Donnersmarck
1545,Floyd Mutrux
1546,Forry Smith
1547,Fran Walsh
1548,Franc. Reyes
1549,Frances Goodrich
1550,Frances Hodgson Burnett
1551,Frances Mayes
1552,Francis Ford Coppola
1553,Francis Veber
1554,Francis X. McCarthy Jr.
1555,Francisca Matos
1556,Franco Zeffirelli
1557,Frank Abagnale Jr.
1558,Frank B. Gilbreth Jr.
1559,Frank Baldwin
1560,Frank Barhydt
1561,Frank Cottrell Boyce
1562,Frank D. Gilroy
1563,Frank Darabont
1564,Frank De Felitta
1565,Frank Deese
1566,Frank Deford
1567,Frank Dux
1568,Frank Hannah
1569,Frank Herbert
1570,Frank Hohimer
1571,Frank LaLoggia
1572,Frank McCourt
1573,Frank Miller
1574,Frank Pierson
1575,Frank Sebastiano
1576,Frank Spotnitz
1577,Frank Waldman
1578,Frank Yablans
1579,Franklin Thompson
1580,François Camirand
1581,François Girard
1582,François Ozon
1583,Fred Bauer
1584,Fred Cavayé
1585,Fred Dekker
1586,Fred Freeman
1587,Fred Rexer
1588,Fred Schepisi
1589,Fred Waitzkin
1590,Fred Wolf
1591,Frederic Raphael
1592,Frederick Knott
1593,Fredric Lebow
1594,Freedom Writers
1595,Friedrich Dürrenmatt
1596,Frédéric Jardin
1597,Furio Scarpelli
1598,Gabe Sachs
1599,Gabor Csupo
1600,Gabriel Arcand
1601,Gabriel Casseus
1602,Gabriel García Márquez
1603,Gabriel Ripstein
1604,Gabriele Muccino
1605,Gabriella Prekop
1606,Gabrielle Allan
1607,Gaby Chiappe
1608,Gage Lansky
1609,Gail Gilchriest
1610,Gail Morgan Hickman
1611,Gail Parent
1612,Gale Anne Hurd
1613,Galley Molina
1614,Gareth Dunnet-Alcocer
1615,Gareth Evans
1616,Garon Tsuchiya
1617,Garrard Conley
1618,Garrett Lerner
1619,Garrison Keillor
1620,Garry Shandling
1621,Garth Ennis
1622,Garth Jennings
1623,Garth Stein
1624,Gary Baseman
1625,Gary Brandner
1626,Gary Conway
1627,Gary Dauberman
1628,Gary David Goldberg
1629,Gary Eck
1630,Gary Goldman
1631,Gary Hardwick
1632,Gary K. Wolf
1633,Gary M. Goodman
1634,Gary Marks
1635,Gary Nadeau
1636,Gary Ross
1637,Gary Scott Thompson
1638,Gary Sherman
1639,Gary Spinelli
1640,Gary Stephen Ross
1641,Gary Whitta
1642,Gary Young
1643,Gaston Leroux
1644,Gavin Hood
1645,Gavin O'Connor
1646,Gavin Scott
1647,Gayle Forman
1648,Geeta Anand
1649,Gene Brewer
1650,Gene Colan
1651,Gene Quintano
1652,Gene Roddenberry
1653,Gene Stupnitsky
1654,Gene Wilder
1655,Geneva Robertson-Dworet
1656,Genndy Tartakovsky
1657,Geoff LaTulippe
1658,Geoff Rodkey
1659,Geoffrey Edwards
1660,Geoffrey Fletcher
1661,Geoffrey Panos
1662,George A. Romero
1663,George Axelrod
1664,George Barr McCutcheon
1665,George Clayton Johnson
1666,George Clooney
1667,George Crile
1668,George Dawes Green
1669,George Gallo
1670,George Gatins
1671,George Gipe
1672,George Goldsmith
1673,George LaFountaine
1674,George LaVoo
1675,George Langelaan
1676,George Lucas
1677,George MacDonald
1678,George MacDonald Fraser
1679,George Markstein
1680,George Michael
1681,George Miller
1682,George Nolfi
1683,George Orwell
1684,George Plimpton
1685,George Tillman Jr.
1686,George V. Higgins
1687,George Webster
1688,George Wells
1689,George Wing
1690,George Zaloom
1691,Georges Chaperot
1692,Georges-Hébert Germain
1693,Gerald Clarke
1694,Gerald Di Pego
1695,Gerald Kersh
1696,Gerald N. Lund
1697,Gerald Petievich
1698,Gerald Walker
1699,Gerard Brown
1700,Gerard Soeteman
1701,Germán Servidio
1702,Gerry Anderson
1703,Gerry Conlon
1704,Gerry Swallow
1705,Gertrude Davies Lintz
1706,Ghalya Lacroix
1707,Ghyslaine Côté
1708,Gideon Amir
1709,Gideon Defoe
1710,Gigi Levangie
1711,Gilbert Adair
1712,Gilbert Ralston
1713,Gill Dennis
1714,Gilles Adrien
1715,Gilles Mimouni
1716,Gillian Flynn
1717,Gina Goldman
1718,Gina Prince-Bythewood
1719,Gina Wendkos
1720,Giovanni Arpino
1721,Giuseppe Tornatore
1722,Glen Charles
1723,Glen Morgan
1724,Glenn A. Bruce
1725,Glenn Berger
1726,Glenn Ficarra
1727,Glenn Gers
1728,Glenn M. Benest
1729,Gloria Katz
1730,Gong Geer
1731,Gordon Thomas
1732,Gordon Weaver
1733,Grace Cary Bickley
1734,Graham Chapman
1735,Graham Gordy
1736,Graham Greene
1737,Graham Moore
1738,Graham Roland
1739,Graham Swift
1740,Graham Wagner
1741,Graham Yost
1742,Grant Heslov
1743,Grant Nieporte
1744,Grant Pierce Myers
1745,Greg Berlanti
1746,Greg Coolidge
1747,Greg DePaul
1748,Greg Erb
1749,Greg Fields
1750,Greg Glienna
1751,Greg Harrison
1752,Greg Iles
1753,Greg McLean
1754,Greg Norberg
1755,Greg Taylor
1756,Gregg Chabot
1757,Gregg Hurwitz
1758,Gregg Maxwell Parker
1759,Gregory Allen Howard
1760,Gregory Fleeman
1761,Gregory Hansen
1762,Gregory J. Bradley
1763,Gregory McDonald
1764,Gregory Nava
1765,Gregory Poirier
1766,Gregory Poppen
1767,Gregory Ramon Anderson
1768,Gregory White Smith
1769,Gregory Widen
1770,Greta Gerwig
1771,Grégory Levasseur
1772,Guillaume Canet
1773,Guillaume Laurant
1774,Guillermo Amoedo
1775,Guillermo Arriaga
1776,Guillermo Cabrera Infante
1777,Guillermo Ríos
1778,Guillermo del Toro
1779,Guinevere Turner
1780,Guljit Bindra
1781,Gurinder Chadha
1782,Gus Van Sant
1783,Gustavo Hernández
1784,Gustin Nash
1785,Guy Busick
1786,Guy Elmes
1787,Guy Hibbert
1788,Guy Manos
1789,Guy Ritchie
1790,Gwyn Lurie
1791,Gy Waldron
1792,Gábor T. Szántó
1793,Gérard Brach
1794,Gérard Oury
1795,H. Kaye Dyal
1796,H. Rider Haggard
1797,H.B. Halicki
1798,H.F. Saint
1799,H.G. Wells
1800,H.P. Lovecraft
1801,Habib Faisal
1802,Haidar Ali
1803,Haile Gerima
1804,Hal Barwood
1805,Hal Needham
1806,Hallie Meyers-Shyer
1807,Halsted Welles
1808,Hamish McColl
1809,Hampton Fancher
1810,Hampton Sides
1811,Han-min Kim
1812,Hanif Kureishi
1813,Hank Nelken
1814,Hannah Shakespeare
1815,Hans Bauer
1816,Hans Christian Andersen
1817,Hans Holzer
1818,Hany Abu-Assad
1819,Harald Kloser
1820,Harald Zwart
1821,Hark Tsui
1822,Harlan Coben
1823,Harley Peyton
1824,Harmony Korine
1825,Harold G. Moore
1826,Harold Ramis
1827,Harold Robbins
1828,Harold T.P. Hayes
1829,Harriet Frank Jr.
1830,Harris Goldberg
1831,Harry Allard
1832,Harry Elfont
1833,Harry Grey
1834,Harry Julian Fink
1835,Harry Kleiner
1836,Harry Ratchford
1837,Harry Shearer
1838,Harv Zimmel
1839,Harve Bennett
1840,Harvey Fierstein
1841,Harvey Miller
1842,Hawk Ostby
1843,Hayao Miyazaki
1844,Hayden Herrera
1845,Hayden Schlossberg
1846,Heather Hach
1847,Heather Juergensen
1848,Heather McGowan
1849,Heather Robinson
1850,Heidi McLaughlin
1851,Heidi Thomas
1852,Heinrich Harrer
1853,Helen Aberson
1854,Helen Childress
1855,Helen Cross
1856,Helen Fielding
1857,Helen Prejean
1858,Helena Kriel
1859,Henrik Ibsen
1860,Henry Bean
1861,Henry De Vere Stacpoole
1862,Henry Gayden
1863,Henry Gilroy
1864,Henry James
1865,Henry Rosenbaum
1866,Henry Selick
1867,Hergé
1868,Herman Raucher
1869,Herman Weigel
1870,Herschel Weingrod
1871,Hervé Palud
1872,Hesper Anderson
1873,Heywood Gould
1874,Hideo Nakata
1875,Hideo Oguni
1876,Hilary Henkin
1877,Hilary du Pré
1878,Hillary Seitz
1879,Hing-Ka Chan
1880,Hiram Martinez
1881,Hironobu Sakaguchi
1882,Hiroshi Fukazawa
1883,Ho-min Ju
1884,Hollis Barton
1885,Holly Gent
1886,Holly Goldberg Sloan
1887,Homer
1888,Homer H. Hickam Jr.
1889,Hossein Amini
1890,Howard Ashman
1891,Howard Avedis
1892,Howard Berk
1893,Howard Franklin
1894,Howard Klausner
1895,Howard Kohn
1896,Howard Korder
1897,Howard R. Cohen
1898,Howard Rosenman
1899,Howard Stern
1900,Hu Hong
1901,Hubbel Palmer
1902,Hubert Selby Jr.
1903,Huck Botko
1904,Huey Perry
1905,Hugh Kelley
1906,Hugh Lofting
1907,Hugh Welchman
1908,Hugh Wheeler
1909,Hugh Wilson
1910,Hui-Ling Wang
1911,Hunter Dennis
1912,Hunter S. Thompson
1913,Hussain Dalal
1914,Hyung-rae Shim
1915,I. Marlene King
1916,Iain Johnstone
1917,Ian Deitchman
1918,Ian Fleming
1919,Ian Helfer
1920,Ian La Frenais
1921,Ian Mackenzie Jeffers
1922,Ian Masters
1923,Ian McEwan
1924,Ian McKellen
1925,Ian Roberts
1926,Ian Watson
1927,Ice Cube
1928,Ifor David Monger
1929,Ike Barinholtz
1930,Ila Bedi Dutta
1931,Ilene Chaiken
1932,Ilya Naishuller
1933,Imtiaz Ali
1934,Ingmar Bergman
1935,Ira Glass
1936,Ira Levin
1937,Ira Sachs
1938,Irena Brignull
1939,Irene Mecchi
1940,Iris Rainer
1941,Iris Yamashita
1942,Irvine Welsh
1943,Irwin Allen
1944,Isaac Asimov
1945,Isaac Bashevis Singer
1946,Isaac Marion
1947,Isabel Allende
1948,Isabel Coixet
1949,Isabel Ellsen
1950,Isabelle Sobelman
1951,Ishirô Honda
1952,Ishita Moitra
1953,Israel Horovitz
1954,Ivan Atkinson
1955,Ivan Cotroneo
1956,Ivan Goff
1957,Ivan Menchell
1958,Ivan Raimi
1959,Ivan Reitman
1960,J. David Stem
1961,J. Mackye Gruber
1962,J. Michael Straczynski
1963,J. Mills Goodloe
1964,J.B. Cook
1965,J.C. Chandor
1966,J.D. Dillard
1967,J.D. Reed
1968,J.D. Shapiro
1969,J.D. Zeik
1970,J.F. Lawton
1971,J.G. Ballard
1972,J.H. Rosny Sr.
1973,J.H. Wyman
1974,J.J. Abrams
1975,J.J. Connolly
1976,J.K. Rowling
1977,J.M. Barrie
1978,J.P. Chowksey
1979,J.R.R. Tolkien
1980,J.S. Cardone
1981,Jac Flanders
1982,Jack Abramoff
1983,Jack Amiel
1984,Jack Baran
1985,Jack Barth
1986,Jack Bernstein
1987,Jack Black
1988,Jack Cowden
1989,Jack Engelhard
1990,Jack Epps Jr.
1991,Jack Finney
1992,Jack Golden Russell
1993,Jack Higgins
1994,Jack Kirby
1995,Jack London
1996,Jack Olsen
1997,Jack Paglen
1998,Jack Rosenthal
1999,Jack Thibeau
2000,Jack Whittingham
2001,Jackie Chan
2002,Jackie Filgo
2003,Jackie Kallen
2004,Jacob Estes
2005,Jacob Grimm
2006,Jacob Koskoff
2007,Jacob Meszaros
2008,Jacquelyn Mitchard
2009,Jacques Audiard
2010,Jacques Lob
2011,Jacques Tati
2012,Jaime Primak Sullivan
2013,Jake Kasdan
2014,Jake LaMotta
2015,Jake Wade Wall
2016,James A. Woods
2017,James B. Harris
2018,James Baldwin
2019,James Bobin
2020,James Booth
2021,James Bridges
2022,James Bruner
2023,James Burke
2024,James Cameron
2025,James Cappe
2026,James Carabatsos
2027,James Clavell
2028,James Cox
2029,James D. Solomon
2030,James Dashner
2031,James DeMonaco
2032,James Dearden
2033,James Ellroy
2034,James Fargo
2035,James Fenimore Cooper
2036,James Ferguson
2037,James Fogle
2038,James Fox
2039,James Frey
2040,James Gibson
2041,James Glickenhaus
2042,James Gorman
2043,James Gray
2044,James Greer
2045,James Gunn
2046,James Herbert
2047,James Hetfield
2048,James Higginson
2049,James Ivory
2050,James Jones
2051,James Kearns
2052,James L. Brooks
2053,James L. White
2054,James Lapine
2055,James Lee Burke
2056,James M. Cain
2057,James MacManus
2058,James Mangold
2059,James Marshall
2060,James Mather
2061,James McBride
2062,James Melkonian
2063,James O'Barr
2064,James Orr
2065,James Patterson
2066,James Ponsoldt
2067,James R. Hansen
2068,James R. Silke
2069,James R. Webb
2070,James Sallis
2071,James Schamus
2072,James Siegel
2073,James Toback
2074,James Twyman
2075,James V. Hart
2076,James V. Simpson
2077,James Vanderbilt
2078,James Wan
2079,James Whittaker
2080,James Wong
2081,Jamie Babbit
2082,Jamie Delano
2083,Jamie Hewlett
2084,Jamie Linden
2085,Jamie Moss
2086,Jamie Uys
2087,Jan Pinkava
2088,Jan Sardi
2089,Jan Skrentny
2090,Jan de Bont
2091,Jana Howington
2092,Jane Anderson
2093,Jane Austen
2094,Jane Campion
2095,Jane Goldman
2096,Jane Hawking
2097,Jane Hawksley
2098,Jane Rule
2099,Jane Smiley
2100,Janet Fitch
2101,Janet Scott Batchler
2102,Janice Karman
2103,Janus Cercone
2104,Jared Bush
2105,Jared Hess
2106,Jared Stern
2107,Jarrad Paul
2108,Jarre Fees
2109,Jason Filardi
2110,Jason Friedberg
2111,Jason Fuchs
2112,Jason Hall
2113,Jason Katims
2114,Jason Katz
2115,Jason Keller
2116,Jason Mantzoukas
2117,Jason Matthews
2118,Jason Pagan
2119,Jason Rappaport
2120,Jason Reitman
2121,Jason Richman
2122,Jason Schafer
2123,Jason Segel
2124,Jason Smilovic
2125,Jason Ward
2126,Jaume Balagueró
2127,Javier Abad
2128,Jay Anson
2129,Jay Chandrasekhar
2130,Jay Cocks
2131,Jay Cronley
2132,Jay Duplass
2133,Jay Huguely
2134,Jay Lavender
2135,Jay Levey
2136,Jay Longino
2137,Jay Martel
2138,Jay Parini
2139,Jay Scherick
2140,Jay Ward
2141,Jay Wolpert
2142,Jay Wurts
2143,Jayamohan
2144,Jean C. Havez
2145,Jean Chalopin
2146,Jean Hanff Korelitz
2147,Jean LaFleur
2148,Jean M. Auel
2149,Jean Poiret
2150,Jean Shepherd
2151,Jean-Charles Tacchella
2152,Jean-Christophe Castelli
2153,Jean-Claude Carrière
2154,Jean-Claude Mézières
2155,Jean-Claude Van Damme
2156,Jean-Jacques Annaud
2157,Jean-Marie Poiré
2158,Jean-Patrick Manchette
2159,Jean-Paul Rappeneau
2160,Jean-Pierre Dardenne
2161,Jean-Pierre Jeunet
2162,Jean-Pierre Melville
2163,Jean-Stéphane Bron
2164,Jeanne Duprau
2165,Jeanne Marie Laskas
2166,Jeanne Rosenberg
2167,Jeanne Ryan
2168,Jeannie Long
2169,Jeannine Dominy
2170,Jeb Stuart
2171,Jeff Arch
2172,Jeff Baena
2173,Jeff Bauman
2174,Jeff Benjamin
2175,Jeff Buhai
2176,Jeff Buhler
2177,Jeff Cox
2178,Jeff Daniels
2179,Jeff Dixon
2180,Jeff Eastin
2181,Jeff Filgo
2182,Jeff Franklin
2183,Jeff Hammond
2184,Jeff Hand
2185,Jeff Howard
2186,Jeff Judah
2187,Jeff Kinney
2188,Jeff Lowell
2189,Jeff Maguire
2190,Jeff Nathanson
2191,Jeff Nichols
2192,Jeff Nimoy
2193,Jeff Pinkner
2194,Jeff Pollack
2195,Jeff Pope
2196,Jeff Reno
2197,Jeff Rothberg
2198,Jeff Shaara
2199,Jeff Stockwell
2200,Jeff Van Wie
2201,Jeff VanderMeer
2202,Jeff Vintar
2203,Jeff Wadlow
2204,Jeff Whitty
2205,Jeffery Deaver
2206,Jeffrey Alan Fiskin
2207,Jeffrey Bernini
2208,Jeffrey Bloom
2209,Jeffrey Boam
2210,Jeffrey Bushell
2211,Jeffrey Caine
2212,Jeffrey Eugenides
2213,Jeffrey Hatcher
2214,Jeffrey Jurgensen
2215,Jeffrey Kluger
2216,Jeffrey Lieber
2217,Jeffrey M. Howard
2218,Jeffrey M. Rosenbaum
2219,Jeffrey Nachmanoff
2220,Jeffrey Price
2221,Jeffrey Reddick
2222,Jeffrey Ross
2223,Jeffrey Scott
2224,Jemaine Clement
2225,Jennie Snyder Urman
2226,Jennifer Flackett
2227,Jennifer Lee
2228,Jennifer Salt
2229,Jennifer Ventimilia
2230,Jennifer Westfeldt
2231,Jenny Bicks
2232,Jeph Loeb
2233,Jere Cunningham
2234,Jeremy Brock
2235,Jeremy Camp
2236,Jeremy Garelick
2237,Jeremy Haft
2238,Jeremy Iacone
2239,Jeremy Joe Kronsberg
2240,Jeremy Leven
2241,Jeremy Passmore
2242,Jeremy Pikser
2243,Jeremy Saulnier
2244,Jeremy Slater
2245,Jeremy Sosenko
2246,Jeremy Walters
2247,Jerico Stone
2248,Jerome Armstrong
2249,Jerry B. Jenkins
2250,Jerry Beck
2251,Jerry Belson
2252,Jerry Eeten
2253,Jerry Juhl
2254,Jerry Leichtling
2255,Jerry Lewis
2256,Jerry O'Connell
2257,Jerry Seinfeld
2258,Jerry Siegel
2259,Jerry Zucker
2260,Jerusha Hess
2261,Jerzy Kromolowski
2262,Jesse Andrews
2263,Jesse Armstrong
2264,Jesse Peretz
2265,Jesse Studenberg
2266,Jessica Bendinger
2267,Jessica Postigo
2268,Jessica Pressler
2269,Jessica Sharzer
2270,Jessie Nelson
2271,Jet Li
2272,Jez Butterworth
2273,Jhumpa Lahiri
2274,Ji Feng
2275,Ji-hoon Han
2276,Jihad Hojeily
2277,Jill Ciment
2278,Jill Culton
2279,Jill Mazursky
2280,Jill Sprecher
2281,Jillian Jacobs
2282,Jim Abrahams
2283,Jim Britts
2284,Jim Burnstein
2285,Jim Carroll
2286,Jim Cash
2287,Jim Cox
2288,Jim Cruickshank
2289,Jim Davis
2290,Jim Dent
2291,Jim Harrison
2292,Jim Henson
2293,Jim Herzfeld
2294,Jim Jacobs
2295,Jim Jarmusch
2296,Jim Jennewein
2297,Jim Kehoe
2298,Jim Kouf
2299,Jim Lovell
2300,Jim McClain
2301,Jim Meenaghan
2302,Jim Piddock
2303,Jim Rash
2304,Jim Sheridan
2305,Jim Strain
2306,Jim Strouse
2307,Jim Taylor
2308,Jim Thomas
2309,Jim Uhls
2310,Jim Webb
2311,Jim Wheat
2312,Jim Wilson
2313,Jim Wynorski
2314,Jimmy Hayward
2315,Jimmy McGovern
2316,Jimmy Santiago Baca
2317,Jing Wu
2318,JoJo Henrickson
2319,Joachim Fest
2320,Joan Didion
2321,Joan Singleton
2322,Joan Taylor
2323,Joanne Harris
2324,Joby Harold
2325,Jocelyn Moorhouse
2326,Jody Hill
2327,Jody Savin
2328,Joe Aaron
2329,Joe Ahearne
2330,Joe Ansolabehere
2331,Joe Augustyn
2332,Joe Ballarini
2333,Joe Batteer
2334,Joe Carnahan
2335,Joe Connelly
2336,Joe Cornish
2337,Joe Eszterhas
2338,Joe Forte
2339,Joe Gatto
2340,Joe Gayton
2341,Joe Grant
2342,Joe Haldeman
2343,Joe Harris
2344,Joe Jarvis
2345,Joe Klein
2346,Joe Menosky
2347,Joe Penhall
2348,Joe Penna
2349,Joe R. Lansdale
2350,Joe Ranft
2351,Joe Robert Cole
2352,Joe Shrapnel
2353,Joe Shuster
2354,Joe Stillman
2355,Joe Syracuse
2356,Joel Coen
2357,Joel Cohen
2358,Joel Edgerton
2359,Joel Hershman
2360,Joel Oliansky
2361,Joel Schumacher
2362,Joel Soisson
2363,Joelle Touma
2364,Joey Curtis
2365,Joey Gutierrez
2366,Joey Hartstone
2367,Joey Mazzarino
2368,Johannes Roberts
2369,John A. Davis
2370,John A. Keel
2371,John A. Russo
2372,John Aboud
2373,John Aglialoro
2374,John Ajvide Lindqvist
2375,John Allen Nelson
2376,John Altschuler
2377,John August
2378,John B. Keane
2379,John Banville
2380,John Barry
2381,John Bayley
2382,John Beaird
2383,John Bellairs
2384,John Berendt
2385,John Bishop
2386,John Blumenthal
2387,John Boorman
2388,John Bowe
2389,John Boyne
2390,John Brancato
2391,John Briley
2392,John Brosnan
2393,John Brownjohn
2394,John Brownlow
2395,John Bryson
2396,John Byrum
2397,John C. Richards
2398,John Cameron Mitchell
2399,John Carlin
2400,John Carney
2401,John Carpenter
2402,John Cassavetes
2403,John Claflin
2404,John Cleese
2405,John Collee
2406,John Cornell
2407,John Cotter
2408,John D. Hancock
2409,John D. MacDonald
2410,John Dahl
2411,John DeMarco
2412,John Derek
2413,John Dwyer
2414,John E. Moyer
2415,John Eddie Johnson
2416,John Erick Dowdle
2417,John Eskow
2418,John Esposito
2419,John Fasano
2420,John Francis Daley
2421,John Fusco
2422,John Galt
2423,John Garvin
2424,John Gatins
2425,John Glenn
2426,John Godey
2427,John Goldsmith
2428,John Gregory Dunne
2429,John Grisham
2430,John Guare
2431,John Guy
2432,John H. Groberg
2433,John H. Lee
2434,John Hamburg
2435,John Hamill
2436,John Harrison
2437,John Heffernan
2438,John Herzfeld
2439,John Hill
2440,John Hlavin
2441,John Hodge
2442,John Hughes
2443,John Hunter
2444,John Irving
2445,John J. McLaughlin
2446,John J. Strauss
2447,John Junkerman
2448,John K. Swensson
2449,John Kamps
2450,John Katzenbach
2451,John Kohn
2452,John Krasinski
2453,John L. Balderston
2454,John L. Greene
2455,John Lafia
2456,John Landis
2457,John Lasseter
2458,John Lee Hancock
2459,John Leguizamo
2460,John Logan
2461,John Long
2462,John Lutz
2463,John McGreevey
2464,John McKay
2465,John McLoughlin
2466,John McNamara
2467,John Michael McDonagh
2468,John Milius
2469,John Mister
2470,John Morris
2471,John Mortimer
2472,John Musker
2473,John Nichols
2474,John Nickle
2475,John Norville
2476,John O'Brien
2477,John Orloff
2478,John Paragon
2479,John Patrick Shanley
2480,John Payson
2481,John Pearson
2482,John Petro
2483,John Phillips
2484,John Pielmeier
2485,John Pogue
2486,John Pollono
2487,John Pomeroy
2488,John Quaintance
2489,John R. Cherry III
2490,John Requa
2491,John Rice
2492,John Ridley
2493,John Roach
2494,John Rogers
2495,John Romano
2496,John Sanford
2497,John Sayles
2498,John Scott Shepherd
2499,John Seabrook
2500,John Sheppard
2501,John Shirley
2502,John Singleton
2503,John Skipp
2504,John Solomon
2505,John Stainton
2506,John Steakley
2507,John Steinbeck
2508,John Stockwell
2509,John Stuart Newman
